,Psicológica,Física,Económica,Sexual,Laboral,Institucional,En línea,Años,Ambito,Jerárquico
66,1,0,1,1,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
67,1,0,1,0,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",1
68,0,1,1,1,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
69,0,0,1,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
70,0,0,0,0,0,0,0,De 6 a 10 años.,"Privado (radio, diarios tv, medios digitales)",1
71,0,0,1,0,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
72,1,0,0,0,0,0,0,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
73,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
74,1,0,1,0,0,1,1,Más de 20 años.,Público y privado,0
75,1,1,1,1,0,1,1,De 16 a 20 años.,Público y privado,0
76,1,0,1,1,0,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",1
77,0,0,1,0,0,0,0,De 16 a 20 años.,Público y privado,0
78,1,0,1,0,1,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
79,0,0,1,0,0,0,0,Más de 20 años.,Público y privado,0
80,1,0,1,0,0,1,0,De 16 a 20 años.,"Público (medios universitarios, nacionales o provinciales)",1
81,1,0,1,0,0,1,0,Más de 20 años.,Público y privado,0
82,1,1,0,0,0,1,0,De 16 a 20 años.,Público y privado,0
83,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
84,1,1,1,1,0,1,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",0
85,1,0,1,0,0,1,0,De 16 a 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
86,1,0,1,0,1,0,1,De 16 a 20 años.,Público y privado,0
87,1,0,0,1,0,1,0,De 6 a 10 años.,Público y privado,1
88,0,0,1,1,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
89,1,0,0,0,1,1,1,De 11 a 15 años.,"Público (medios universitarios, nacionales o provinciales)",0
90,1,1,1,1,1,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
91,1,0,1,0,0,1,1,Más de 20 años.,Público y privado,0
92,1,0,1,1,1,1,1,De 16 a 20 años.,Público y privado,0
93,1,0,1,1,0,1,1,De 11 a 15 años.,Público y privado,0
94,1,0,1,1,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
95,1,0,1,1,1,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",1
96,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
97,0,0,0,0,0,0,0,De 6 a 10 años.,"Público (medios universitarios, nacionales o provinciales)",0
98,1,0,1,0,0,0,0,De 16 a 20 años.,Público y privado,0
99,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",0
100,0,0,0,0,0,0,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
101,1,0,0,0,0,1,0,De 0 a 5 años.,"Público (medios universitarios, nacionales o provinciales)",0
102,0,0,0,1,0,0,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",1
103,1,0,1,0,0,1,0,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
104,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
105,0,0,0,0,0,0,0,De 0 a 5 años.,"Privado (radio, diarios tv, medios digitales)",1
106,1,0,1,0,0,0,1,De 11 a 15 años.,"Privado (radio, diarios tv, medios digitales)",1
107,1,0,1,0,0,1,0,De 16 a 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
108,1,0,0,0,1,0,0,De 16 a 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
109,1,0,0,1,1,1,0,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",0
110,0,0,0,0,0,0,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",1
111,1,0,1,0,0,1,1,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",1
112,1,0,1,1,1,0,1,Más de 20 años.,"Público (medios universitarios, nacionales o provinciales)",1
113,0,0,0,0,0,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
114,1,0,0,0,0,1,1,Más de 20 años.,Público y privado,0
115,1,0,0,0,1,1,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
116,1,0,1,0,1,0,0,Más de 20 años.,"Privado (radio, diarios tv, medios digitales)",0
117,1,0,0,0,0,1,1,De 16 a 20 años.,"Privado (radio, diarios tv, medios digitales)",0
